# INA219 monitor ready | sda=41 scl=42 sample_period_ms=100 calibration=16V_400mA
elapsed_ms	bus_voltage_V	shunt_voltage_mV	load_voltage_V	current_mA	power_mW
23601	5.0240	-10.9900	5.0130	103.1000	518.0000
23704	5.0240	-10.3400	5.0137	116.6000	585.0000
23807	5.0240	-10.4400	5.0136	104.1000	513.0000
23910	5.0240	-10.3800	5.0136	102.0000	513.0000
24013	5.0240	-10.4500	5.0136	101.3000	505.0000
24116	5.0240	-10.4000	5.0136	100.9000	506.0000
24219	5.0240	-10.0600	5.0139	100.5000	518.0000
24322	5.0240	-10.0400	5.0140	103.2000	518.0000
24425	5.0160	-10.7400	5.0053	116.8000	524.0000
24528	5.0200	-10.3400	5.0097	103.6000	521.0000
24631	5.0240	-10.4900	5.0135	106.3000	534.0000
24734	5.0240	-10.4100	5.0136	103.6000	519.0000
24837	5.0240	-10.4700	5.0135	103.4000	519.0000
24940	5.0240	-10.3200	5.0137	103.9000	519.0000
25043	5.0240	-10.3500	5.0136	105.3000	528.0000
25146	5.0240	-11.5000	5.0125	103.5000	519.0000
25249	5.0120	-12.4000	4.9996	123.8000	621.0000
25352	5.0080	-12.4800	4.9955	125.8000	628.0000
25455	5.0120	-12.4400	4.9996	123.3000	618.0000
25558	5.0120	-12.6100	4.9994	136.4000	619.0000
25661	5.0160	-12.3300	5.0037	123.7000	619.0000
25764	5.0160	-11.5400	5.0045	115.9000	582.0000
25867	5.0200	-11.6800	5.0083	116.1000	582.0000
25970	5.0240	-10.4000	5.0136	104.0000	526.0000
26073	5.0200	-10.4500	5.0096	104.4000	524.0000
26176	5.0240	-10.6300	5.0134	103.8000	521.0000
26279	5.0200	-10.3400	5.0097	103.4000	519.0000
26382	5.0240	-10.3400	5.0137	104.0000	523.0000
26485	5.0240	-10.3100	5.0137	103.3000	519.0000
26588	5.0080	-11.3900	4.9966	111.1000	557.0000
26691	5.0200	-11.6000	5.0084	104.2000	526.0000
26794	5.0240	-10.9200	5.0131	117.7000	590.0000
26897	5.0240	-10.3800	5.0136	104.3000	519.0000
27000	5.0240	-10.5200	5.0135	114.9000	577.0000
27103	5.0240	-10.4200	5.0136	103.6000	524.0000
27206	5.0240	-10.3500	5.0136	103.8000	521.0000
27309	5.0240	-10.3700	5.0136	104.2000	524.0000
27412	5.0240	-10.4000	5.0136	105.3000	529.0000
27515	5.0160	-11.0500	5.0049	118.1000	524.0000
27618	5.0200	-10.3800	5.0096	103.2000	518.0000
27721	5.0240	-10.3800	5.0136	103.3000	518.0000
27824	5.0240	-10.3400	5.0137	103.2000	518.0000
27927	5.0240	-11.1000	5.0129	121.2000	609.0000
28030	5.0240	-10.3500	5.0136	104.4000	524.0000
28133	5.0240	-10.3700	5.0136	104.5000	524.0000
28236	5.0200	-10.4200	5.0096	103.8000	521.0000
28339	5.0240	-10.3700	5.0136	116.0000	582.0000
28442	5.0240	-10.3700	5.0136	104.0000	519.0000
28545	5.0200	-10.5300	5.0095	111.2000	559.0000
28648	5.0240	-10.4200	5.0136	103.7000	519.0000
28751	5.0240	-10.4600	5.0135	128.5000	644.0000
28854	5.0200	-10.4400	5.0096	104.4000	528.0000
28957	5.0240	-10.4100	5.0136	103.8000	521.0000
29060	5.0240	-10.3700	5.0136	104.1000	528.0000
29163	5.0240	-10.3300	5.0137	103.1000	518.0000
29266	5.0200	-11.6400	5.0084	104.8000	526.0000
29369	5.0240	-10.3400	5.0137	103.9000	523.0000
29472	5.0240	-10.4800	5.0135	105.0000	600.0000
